,股票代码,股票简称,最新价,涨跌幅(%),PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业,市值,股息率,日期
0,1,平安银行,14.71,2.08,7.31,7.86,0.85,0.28,1.64,-8.38,银行,28546105.6693,1.2237,2022-05-17
1,2,万科A,19.07,1.01,9.78,9.84,0.94,-,0.49,-8.52,房地产开发,22169606.0961,6.5548,2022-05-17
2,6,深振业A,4.44,-4.31,18.92,11.07,0.78,-,2.38,-1.39,房地产开发,599397.8004,4.3468,2022-05-17
3,16,深康佳A,4.65,0.22,11.96,12.37,1.2,-,0.24,15.84,家电行业,1119694.6147,2.1505,2022-05-17
4,26,飞亚达,8.87,-1.22,10.62,9.74,1.23,0.36,0.75,7.07,珠宝首饰,377907.2503,4.611,2022-05-17
5,27,深圳能源,5.91,-0.84,13.81,13.21,0.99,-,0.84,5.66,电力行业,2811617.4404,4.3993,2022-05-17
6,28,国药一致,28.14,-2.46,9.56,9.01,0.79,-,0.17,6.91,医药商业,1204749.3302,2.8429,2022-05-17
7,30,富奥股份,5.32,0.0,14.91,11.45,1.28,-,0.77,7.57,汽车零部件,963213.7231,5.4187,2022-05-17
8,35,中国天楹,4.38,1.39,17.03,15.16,1.01,1.41,0.69,6.97,环保行业,1105414.4561,0.0,2022-05-17
9,36,华联控股,4.14,-2.82,18.17,15.12,1.23,-,3.92,-13.95,房地产开发,614348.6864,5.5556,2022-05-17
10,39,中集集团,13.12,1.0,6.87,7.08,1.01,0.56,0.28,2.02,通用设备,4716657.8301,2.1341,2022-05-17
11,42,中洲控股,9.24,-10.03,16.72,29.83,0.76,-,0.77,-6.41,房地产开发,614303.9724,0.5411,2022-05-17
12,45,深纺织A,6.63,-0.45,93.25,54.91,1.18,2.22,1.39,687.59,光学光电子,335823.9859,0.4525,2022-05-17
13,50,深天马A,9.07,0.67,13.65,14.45,0.74,3.18,0.7,4.22,光学光电子,2229177.1285,0.7718,2022-05-17
14,55,方大集团,4.13,-1.2,23.23,19.96,0.8,-,1.24,76.03,装修装饰,443510.0558,0.0,2022-05-17
15,59,华锦股份,6.12,0.16,14.82,10.95,0.67,0.10,0.24,7.47,石油行业,978858.8326,1.2908,2022-05-17
16,60,中金岭南,4.12,0.0,12.05,12.83,1.17,0.79,0.3,9.22,有色金属,1503818.4271,1.9939,2022-05-17
17,65,北方国际,7.69,-1.03,11.66,12.35,1.25,-,0.56,6.74,工程建设,770309.7754,0.979,2022-05-17
18,69,华侨城A,5.78,-2.36,15.42,12.48,0.6,-,0.47,4.31,房地产开发,4740636.8829,6.782,2022-05-17
19,88,盐田港,4.94,-2.37,24.19,24.08,1.22,1.24,15.33,35.7,航运港口,1111085.903,0.3644,2022-05-17
20,90,天健集团,7.54,-5.28,7.34,7.29,1.37,0.19,0.61,-4.46,工程建设,1408883.2572,5.0398,2022-05-17
21,99,中信海直,6.98,-1.41,19.07,21.97,1.13,1.72,3.17,9.42,航空机场,541487.5556,0.8395,2022-05-17
22,100,TCL科技,4.24,0.71,6.61,5.92,1.37,0.06,0.35,2.07,光学光电子,5948992.3865,2.7325,2022-05-17
23,156,华数传媒,7.34,-1.34,14.75,15.0,0.95,2.03,1.55,6.56,文化传媒,1360052.4124,2.3161,2022-05-17
24,157,中联重科,5.83,-0.51,10.63,8.07,0.88,-,0.87,91.26,工程机械,5059269.4736,5.4858,2022-05-17
25,158,常山北明,5.42,-0.18,64.96,66.14,1.43,1.98,0.76,-236.51,综合行业,866450.2628,0.0,2022-05-17
26,159,国际实业,5.41,1.12,177.22,94.01,1.16,-,2.12,39.75,石油行业,260051.1222,0.3697,2022-05-17
27,166,申万宏源,3.99,0.0,12.43,10.63,1.04,0.54,3.28,-3.73,证券,9990937.8794,2.5063,2022-05-17
28,338,潍柴动力,11.3,4.53,14.18,10.66,1.36,29.78,0.55,7.93,汽车零部件,9861009.2077,3.6991,2022-05-17
29,401,冀东水泥,10.58,-1.31,10.7,10.01,0.9,-,0.78,5.52,水泥建材,2812389.4937,2.5133,2022-05-17
30,402,金融街,6.31,-2.02,9.34,11.48,0.5,-,0.69,-6.07,房地产开发,1886014.7713,4.7544,2022-05-17
31,404,长虹华意,4.44,-0.89,14.63,16.66,0.89,0.18,0.23,2.35,家电行业,309022.2147,2.2523,2022-05-17
32,417,合肥百货,4.79,-2.64,22.76,20.66,0.88,0.66,0.59,3.69,商业百货,373564.5318,1.2526,2022-05-17
33,419,通程控股,5.1,-0.58,16.5,20.02,0.91,-,1.21,6.47,商业百货,277227.1541,2.9412,2022-05-17
34,421,南京公用,4.61,-1.71,38.54,27.03,0.94,1.23,0.68,7.85,燃气,266611.0216,1.3961,2022-05-17
35,425,徐工机械,5.09,0.2,7.53,7.1,1.06,0.16,0.5,5.96,工程机械,3987337.2309,1.9646,2022-05-17
36,488,晨鸣纸业,5.49,-0.72,16.38,7.93,0.9,1.08,0.52,3.02,造纸印刷,1638330.3018,3.3698,2022-05-17
37,498,山东路桥,10.22,2.51,7.21,7.47,1.48,0.11,0.26,-4.09,工程建设,1594352.5027,0.9766,2022-05-17
38,501,武商集团,10.07,-2.52,11.71,10.29,0.71,0.37,1.11,5.94,商业百货,774375.6801,1.4896,2022-05-17
39,507,珠海港,5.96,-1.97,13.07,12.29,1.04,0.17,0.84,6.46,航运港口,548161.9974,1.0153,2022-05-17
40,514,渝开发,5.73,-9.05,28.23,29.82,1.38,0.69,4.07,32.46,房地产开发,483480.7629,0.4363,2022-05-17
41,517,荣安地产,3.87,-5.61,8.68,11.34,1.28,-,0.66,2.59,房地产开发,1232178.0017,0.9044,2022-05-17
42,521,长虹美菱,3.46,-1.42,68.86,68.66,0.74,0.83,0.2,54.87,家电行业,356353.6054,1.4451,2022-05-17
43,528,柳工,6.25,-1.26,16.03,12.28,0.78,-,0.46,260.14,工程机械,1221887.4944,3.3806,2022-05-17
44,541,佛山照明,4.77,0.21,24.82,25.98,1.23,-,1.25,-12.46,家电行业,649671.4466,2.0724,2022-05-17
45,544,中原环保,5.84,-2.34,11.67,11.19,0.86,4.67,0.93,-1.55,公用事业,569215.741,4.2808,2022-05-17
46,550,江铃汽车,15.16,4.19,26.67,22.79,1.5,7.30,0.38,12.1,汽车整车,1308632.424,22.9288,2022-05-17
47,552,靖远煤电,4.07,-1.93,9.5,13.26,1.11,0.11,1.91,3.49,煤炭行业,960012.5817,4.6597,2022-05-17
48,553,安道麦A,11.27,-4.09,60.19,166.82,1.23,-,0.8,7.32,农药兽药,2625697.8603,0.142,2022-05-17
49,557,西部创业,3.97,-0.5,24.38,25.66,1.06,0.78,4.03,33.42,物流行业,578974.7698,0.0,2022-05-17
50,563,陕国投A,2.96,-1.0,15.96,16.02,0.95,2.35,6.22,-4.51,多元金融,1173347.8024,1.0135,2022-05-17
51,570,苏常柴A,4.17,-0.24,62.15,28.57,0.99,0.75,1.25,-22.81,汽车零部件,294273.7754,0.0,2022-05-17
52,573,粤宏远A,3.33,-0.89,30.31,15.12,1.27,0.02,2.01,92.42,房地产开发,212547.4411,1.8018,2022-05-17
53,581,威孚高科,20.59,0.83,8.48,8.06,1.03,-,1.56,347.62,汽车零部件,2076830.0546,7.2871,2022-05-17
54,582,北部湾港,7.71,-3.14,13.33,13.36,1.25,-,2.27,7.98,航运港口,1373521.3583,2.2007,2022-05-17
55,589,贵州轮胎,4.04,0.25,14.33,12.54,0.77,-,0.62,29.43,橡胶制品,463585.3758,3.0943,2022-05-17
56,591,太阳能,7.18,1.41,18.63,18.28,1.42,1.31,3.16,10.34,电力行业,2159096.387,1.727,2022-05-17
57,598,兴蓉环境,5.12,-0.39,9.86,10.23,1.11,0.65,2.2,5.84,公用事业,1528943.9242,1.9416,2022-05-17
58,601,韶能股份,4.5,-0.44,190.89,175.73,1.03,-,1.33,15.56,电力行业,486248.2511,1.1111,2022-05-17
59,605,渤海股份,5.87,0.0,229.19,180.94,0.98,-,1.14,8.55,公用事业,207010.5982,0.3407,2022-05-17
60,608,阳光股份,3.19,-0.31,35.35,37.22,0.77,-,4.09,10.09,房地产开发,239222.3456,0.0,2022-05-17
61,612,焦作万方,5.45,-0.18,16.6,16.38,1.23,-,1.29,-40.07,有色金属,649748.6697,0.9174,2022-05-17
62,617,中油资本,4.7,-0.42,10.74,10.71,0.63,-,1.89,1.03,多元金融,5941777.1671,3.9787,2022-05-17
63,623,吉林敖东,14.28,-0.49,11.47,9.33,0.68,2.92,6.87,63.37,化学制药,1660831.1503,1.3714,2022-05-17
64,627,天茂集团,2.9,0.0,36.41,30.44,0.66,-,0.26,-8.48,保险,1432782.4579,0.3448,2022-05-17
65,630,铜陵有色,3.3,1.54,10.38,11.2,1.44,0.03,0.27,5.3,有色金属,3473755.9916,1.2121,2022-05-17
66,631,顺发恒业,3.43,-2.28,75.01,87.32,1.33,-,29.62,5.23,房地产开发,834354.0746,0.0,2022-05-17
67,639,西王食品,4.34,-2.03,60.93,25.52,1.25,-,0.77,-19.11,食品饮料,468471.7932,0.0,2022-05-17
68,652,泰达股份,3.64,-0.82,22.27,22.29,1.01,0.99,0.24,-3.7,综合行业,537108.8821,0.2747,2022-05-17
69,655,金岭矿业,5.91,0.85,49.04,27.5,1.2,-,2.05,9.35,钢铁行业,351846.0759,1.692,2022-05-17
70,656,金科股份,3.95,-3.42,7.4,5.86,0.62,-,0.19,1.11,房地产开发,2109187.7473,11.3747,2022-05-17
71,666,经纬纺机,7.82,-2.01,9.03,9.16,0.58,0.18,0.44,1.53,多元金融,550629.66,1.4322,2022-05-17
72,668,荣丰控股,11.76,-3.61,7.25,7.33,1.47,-,4.64,28.9,房地产开发,172686.0626,0.0,2022-05-17
