,股票代码,股票简称,最新价,涨跌幅(%),PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业,市值,股息率,日期
0,1,平安银行,14.71,2.08,7.31,7.86,0.85,0.28,1.64,-8.38,银行,28546105.6693,1.2237,2022-05-17
1,2,万科A,19.07,1.01,9.78,9.84,0.94,-,0.49,-8.52,房地产开发,22169606.0961,6.5548,2022-05-17
3,16,深康佳A,4.65,0.22,11.96,12.37,1.2,-,0.24,15.84,家电行业,1119694.6147,2.1505,2022-05-17
5,27,深圳能源,5.91,-0.84,13.81,13.21,0.99,-,0.84,5.66,电力行业,2811617.4404,4.3993,2022-05-17
6,28,国药一致,28.14,-2.46,9.56,9.01,0.79,-,0.17,6.91,医药商业,1204749.3302,2.8429,2022-05-17
10,39,中集集团,13.12,1.0,6.87,7.08,1.01,0.56,0.28,2.02,通用设备,4716657.8301,2.1341,2022-05-17
13,50,深天马A,9.07,0.67,13.65,14.45,0.74,3.18,0.7,4.22,光学光电子,2229177.1285,0.7718,2022-05-17
16,60,中金岭南,4.12,0.0,12.05,12.83,1.17,0.79,0.3,9.22,有色金属,1503818.4271,1.9939,2022-05-17
18,69,华侨城A,5.78,-2.36,15.42,12.48,0.6,-,0.47,4.31,房地产开发,4740636.8829,6.782,2022-05-17
19,88,盐田港,4.94,-2.37,24.19,24.08,1.22,1.24,15.33,35.7,航运港口,1111085.903,0.3644,2022-05-17
20,90,天健集团,7.54,-5.28,7.34,7.29,1.37,0.19,0.61,-4.46,工程建设,1408883.2572,5.0398,2022-05-17
22,100,TCL科技,4.24,0.71,6.61,5.92,1.37,0.06,0.35,2.07,光学光电子,5948992.3865,2.7325,2022-05-17
23,156,华数传媒,7.34,-1.34,14.75,15.0,0.95,2.03,1.55,6.56,文化传媒,1360052.4124,2.3161,2022-05-17
24,157,中联重科,5.83,-0.51,10.63,8.07,0.88,-,0.87,91.26,工程机械,5059269.4736,5.4858,2022-05-17
27,166,申万宏源,3.99,0.0,12.43,10.63,1.04,0.54,3.28,-3.73,证券,9990937.8794,2.5063,2022-05-17
28,338,潍柴动力,11.3,4.53,14.18,10.66,1.36,29.78,0.55,7.93,汽车零部件,9861009.2077,3.6991,2022-05-17
29,401,冀东水泥,10.58,-1.31,10.7,10.01,0.9,-,0.78,5.52,水泥建材,2812389.4937,2.5133,2022-05-17
30,402,金融街,6.31,-2.02,9.34,11.48,0.5,-,0.69,-6.07,房地产开发,1886014.7713,4.7544,2022-05-17
35,425,徐工机械,5.09,0.2,7.53,7.1,1.06,0.16,0.5,5.96,工程机械,3987337.2309,1.9646,2022-05-17
36,488,晨鸣纸业,5.49,-0.72,16.38,7.93,0.9,1.08,0.52,3.02,造纸印刷,1638330.3018,3.3698,2022-05-17
37,498,山东路桥,10.22,2.51,7.21,7.47,1.48,0.11,0.26,-4.09,工程建设,1594352.5027,0.9766,2022-05-17
41,517,荣安地产,3.87,-5.61,8.68,11.34,1.28,-,0.66,2.59,房地产开发,1232178.0017,0.9044,2022-05-17
43,528,柳工,6.25,-1.26,16.03,12.28,0.78,-,0.46,260.14,工程机械,1221887.4944,3.3806,2022-05-17
46,550,江铃汽车,15.16,4.19,26.67,22.79,1.5,7.30,0.38,12.1,汽车整车,1308632.424,22.9288,2022-05-17
48,553,安道麦A,11.27,-4.09,60.19,166.82,1.23,-,0.8,7.32,农药兽药,2625697.8603,0.142,2022-05-17
50,563,陕国投A,2.96,-1.0,15.96,16.02,0.95,2.35,6.22,-4.51,多元金融,1173347.8024,1.0135,2022-05-17
53,581,威孚高科,20.59,0.83,8.48,8.06,1.03,-,1.56,347.62,汽车零部件,2076830.0546,7.2871,2022-05-17
54,582,北部湾港,7.71,-3.14,13.33,13.36,1.25,-,2.27,7.98,航运港口,1373521.3583,2.2007,2022-05-17
56,591,太阳能,7.18,1.41,18.63,18.28,1.42,1.31,3.16,10.34,电力行业,2159096.387,1.727,2022-05-17
57,598,兴蓉环境,5.12,-0.39,9.86,10.23,1.11,0.65,2.2,5.84,公用事业,1528943.9242,1.9416,2022-05-17
62,617,中油资本,4.7,-0.42,10.74,10.71,0.63,-,1.89,1.03,多元金融,5941777.1671,3.9787,2022-05-17
63,623,吉林敖东,14.28,-0.49,11.47,9.33,0.68,2.92,6.87,63.37,化学制药,1660831.1503,1.3714,2022-05-17
64,627,天茂集团,2.9,0.0,36.41,30.44,0.66,-,0.26,-8.48,保险,1432782.4579,0.3448,2022-05-17
65,630,铜陵有色,3.3,1.54,10.38,11.2,1.44,0.03,0.27,5.3,有色金属,3473755.9916,1.2121,2022-05-17
70,656,金科股份,3.95,-3.42,7.4,5.86,0.62,-,0.19,1.11,房地产开发,2109187.7473,11.3747,2022-05-17
73,685,中山公用,7.41,-0.13,8.18,7.46,0.72,1.26,4.55,31.41,公用事业,1093057.5111,3.7787,2022-05-17
74,686,东北证券,6.38,0.16,14.55,9.19,0.84,0.65,2.14,3.5,证券,1493208.9598,1.5674,2022-05-17
76,703,恒逸石化,8.46,-0.12,10.58,9.1,1.19,0.88,0.24,7.0,化纤行业,3101673.3284,3.525,2022-05-17
78,709,河钢股份,2.33,0.0,9.82,9.2,0.48,0.18,0.17,1.71,钢铁行业,2474135.6295,4.1781,2022-05-17
83,725,京东方A,3.84,0.0,5.91,5.72,1.11,0.01,0.67,2.36,光学光电子,14763166.6491,2.349,2022-05-17
85,728,国元证券,5.81,0.17,17.42,13.28,0.79,0.37,4.39,50.1,证券,2535354.9547,3.4423,2022-05-17
86,729,燕京啤酒,6.79,0.74,56.71,83.93,1.43,4.38,1.56,12.55,酿酒行业,1913788.2125,0.324,2022-05-17
88,750,国海证券,3.39,-0.29,28.71,24.14,0.99,4.07,3.87,1.11,证券,1845694.1492,3.5398,2022-05-17
93,761,本钢板材,4.06,-0.73,7.42,6.67,0.76,0.02,0.21,9.99,钢铁行业,1667931.6673,11.8772,2022-05-17
94,776,广发证券,15.9,0.95,12.6,11.16,1.14,1.51,3.95,-11.45,证券,12117529.3858,2.8302,2022-05-17
95,778,新兴铸管,4.79,-1.44,8.92,9.52,0.79,0.95,0.36,7.08,钢铁行业,1911238.1537,3.13,2022-05-17
96,783,长江证券,5.53,0.18,17.43,12.69,1.02,1.09,4.08,2.37,证券,3058066.4085,2.7125,2022-05-17
97,785,居然之家,4.13,-0.24,12.19,11.6,1.37,0.16,2.1,4.53,商业百货,2696492.2393,1.255,2022-05-17
101,800,一汽解放,8.14,2.13,14.77,9.71,1.42,0.30,0.55,4.3,汽车整车,3788449.295,6.1379,2022-05-17
104,825,太钢不锈,5.5,-1.08,5.48,4.97,0.86,0.02,0.3,2.24,钢铁行业,3132936.2878,13.4364,2022-05-17
105,828,东莞控股,9.78,1.24,11.82,10.94,1.18,7.11,1.97,-18.93,铁路公路,1016647.6182,2.5562,2022-05-17
109,877,天山股份,12.18,-0.65,8.64,8.42,1.3,0.00,0.62,3.84,水泥建材,10552048.9875,0.4771,2022-05-17
112,883,湖北能源,4.22,-0.71,12.63,11.85,0.9,-,1.13,5.88,电力行业,2772434.8739,2.8166,2022-05-17
115,898,鞍钢股份,3.4,-0.29,4.63,4.62,0.52,0.02,0.23,2.47,钢铁行业,3197026.9533,2.4695,2022-05-17
127,930,中粮科技,8.59,-1.49,14.22,14.14,1.37,0.14,0.69,3.76,农牧饲渔,1602270.019,0.7569,2022-05-17
128,932,华菱钢铁,5.4,-0.18,3.83,3.85,0.78,0.07,0.21,4.02,钢铁行业,3730661.5495,3.4501,2022-05-17
130,937,冀中能源,7.05,-1.67,6.99,9.09,1.14,0.01,0.72,5.16,煤炭行业,2491150.5293,5.6738,2022-05-17
133,951,中国重汽,11.53,10.02,24.24,13.05,0.96,-,0.32,2.85,汽车整车,1354624.3721,4.2126,2022-05-17
134,958,电投产融,4.51,0.0,19.61,18.73,1.36,9.70,3.09,-134.14,综合行业,2427921.7525,1.3304,2022-05-17
135,959,首钢股份,4.35,-0.46,4.81,4.82,0.79,0.02,0.25,2.46,钢铁行业,3378098.1089,1.979,2022-05-17
137,967,盈峰环境,4.53,0.0,20.05,19.77,0.86,-,1.21,12.38,环保行业,1440313.3886,2.5862,2022-05-17
139,987,越秀金控,7.74,1.04,11.53,11.6,1.12,-,1.97,-3.11,多元金融,2876489.2788,2.3926,2022-05-17
146,1872,招商港口,15.25,0.39,9.73,10.92,0.71,0.39,1.86,4.42,航运港口,2931606.8141,2.4918,2022-05-17
147,1965,招商公路,7.33,0.41,9.38,9.11,0.85,0.08,5.37,10.84,铁路公路,4528643.5568,2.4147,2022-05-17
148,1979,招商蛇口,13.6,-1.02,10.62,10.39,1.27,-,0.65,3.0,房地产开发,10775609.9251,4.5965,2022-05-17
149,2002,鸿达兴业,3.47,0.29,15.82,12.72,1.08,6.19,1.87,-51.21,化学原料,1083319.8823,0.2609,2022-05-17
150,2004,华邦健康,5.38,-0.37,14.85,15.9,1.04,5.19,0.82,7.26,农药兽药,1065196.5248,4.0892,2022-05-17
151,2010,传化智联,6.13,0.33,8.32,8.37,1.11,0.14,0.51,16.74,物流行业,1882802.9712,1.7561,2022-05-17
160,2048,宁波华翔,14.03,0.36,9.34,9.03,1.09,0.18,0.65,4.88,汽车零部件,1142175.9977,20.2862,2022-05-17
163,2061,浙江交科,7.0,-1.41,8.94,11.42,1.05,-,0.23,-21.1,工程建设,1106162.2495,1.4923,2022-05-17
170,2092,中泰化学,7.49,0.54,8.0,7.14,0.75,0.01,0.35,7.32,化学原料,1929228.8982,0.1113,2022-05-17
176,2110,三钢闽光,6.78,-0.29,4.63,4.18,0.7,0.08,0.27,4.69,钢铁行业,1662168.6894,6.5763,2022-05-17
