,序号,股票代码,股票简称,相关,最新价,涨跌幅(%),PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业
0,1,1,平安银行,详细  数据  股吧,14.71,2.08,7.31,7.86,0.85,0.28,1.64,-8.38,银行
1,2,2,万科A,详细  数据  股吧,19.07,1.01,9.78,9.84,0.94,-,0.49,-8.52,房地产开发
2,3,4,ST国华,详细  数据  股吧,9.27,4.98,-,-,1.55,-,5.48,96.77,软件开发
3,4,5,ST星源,详细  数据  股吧,1.81,-1.09,14.49,13.78,1.39,-,5.25,6.45,环保行业
4,5,6,深振业A,详细  数据  股吧,4.44,-4.31,18.92,11.07,0.78,-,2.38,-1.39,房地产开发
5,6,7,*ST全新,详细  数据  股吧,7.51,1.62,70.67,65.09,26.86,-,10.43,-42.63,房地产服务
6,7,8,神州高铁,详细  数据  股吧,2.26,-1.31,-,-,1.22,0.04,2.76,9.44,交运设备
7,8,9,中国宝安,详细  数据  股吧,11.23,4.27,28.66,27.97,3.54,0.51,1.48,-29.15,综合行业
8,9,10,美丽生态,详细  数据  股吧,3.46,-9.66,118.93,120.92,5.46,-,1.66,50.44,工程建设
9,10,11,深物业A,详细  数据  股吧,12.38,-1.9,7.31,7.35,1.64,0.39,1.54,-2.79,房地产开发
10,11,12,南玻A,详细  数据  股吧,5.88,1.38,13.48,11.81,1.53,0.14,1.35,4.93,玻璃玻纤
11,12,14,沙河股份,详细  数据  股吧,11.01,-5.9,36.67,62.69,2.35,-,2.86,-49.02,房地产开发
12,13,16,深康佳A,详细  数据  股吧,4.65,0.22,11.96,12.37,1.2,-,0.24,15.84,家电行业
13,14,17,深中华A,详细  数据  股吧,3.11,2.98,-,-,213.95,-,8.92,320.84,交运设备
14,15,19,深粮控股,详细  数据  股吧,8.31,-1.66,22.27,22.34,2.01,3.49,0.98,10.89,贸易行业
15,16,20,深华发A,详细  数据  股吧,8.25,-0.12,309.77,324.37,6.69,79.76,3.13,46.72,光学光电子
16,17,21,深科技,详细  数据  股吧,10.51,1.15,20.06,21.15,1.63,-,1.01,64.03,消费电子
17,18,23,深天地A,详细  数据  股吧,11.1,-6.25,-,-,4.08,0.01,1.32,8.79,水泥建材
18,19,25,特力A,详细  数据  股吧,12.16,-1.7,36.62,40.01,3.57,0.19,10.39,45.31,汽车服务
19,20,26,飞亚达,详细  数据  股吧,8.87,-1.22,10.62,9.74,1.23,0.36,0.75,7.07,珠宝首饰
20,21,27,深圳能源,详细  数据  股吧,5.91,-0.84,13.81,13.21,0.99,-,0.84,5.66,电力行业
21,22,28,国药一致,详细  数据  股吧,28.14,-2.46,9.56,9.01,0.79,-,0.17,6.91,医药商业
22,23,29,深深房A,详细  数据  股吧,9.27,-6.46,31.78,42.47,2.29,-,7.96,-4.76,房地产开发
23,24,30,富奥股份,详细  数据  股吧,5.32,0.0,14.91,11.45,1.28,-,0.77,7.57,汽车零部件
